target,frequency,number
pi,4803236,2003297
tar,3064430,1509366
sho,1858054,1013242
guitar,1011952,595938
ney,756246,411149
bass,533012,362433
poi,475932,318692
organ,369750,216353
ching,334990,254213
piano,323908,195915
piri,254034,169566
tres,211745,119058
bell,210656,137385
oud,205653,127985
keyboard,169879,125187
lute,153781,106072
venu,132927,87088
horn,125800,80712
violin,122434,75543
nai,119826,74189
tape,116927,77722
thon,112395,67926
percussion,105838,79353
harp,105598,69678
yu,95294,49030
tef,93606,59950
tiple,75551,58233
trumpet,73971,54271
effects,67296,43255
strings,62233,44016
cello,59492,36248
saxophone,58823,42512
flute,51574,33885
bass guitar,50531,41177
viola,47657,27546
synthesizer,43365,32858
acoustic guitar,41593,33516
chap,40999,24164
clarinet,40554,25340
electric guitar,37241,29263
tible,36593,28680
riq,31821,18904
brass,29885,23428
ugal,28656,18649
fiddle,26341,18868
harmonica,24929,20054
banjo,24280,17644
trombone,23046,16740
accordion,21148,15416
mandolin,19748,14832
jing,18535,12107
bones,17182,11452
harpsichord,14626,9422
double bass,14449,11430
oboe,13576,8984
udu,13325,8121
string quartet,12841,9277
recorder,12052,8562
buk,11521,6658
whistle,11041,7910
steel guitar,10637,8478
jug,10501,7440
bassoon,10460,6376
drum machine,10348,9027
cymbal,10155,7692
limbe,9978,7831
zill,9954,4565
tenor saxophone,8839,7480
guan,8504,4362
sampler,8339,7046
Moog,8036,4755
tuba,7917,5816
igil,7800,4812
koto,7618,4021
woodwind,7546,6454
triangle,7506,4308
reeds,7405,4629
slide guitar,7372,6452
erhu,7287,4123
gong,7222,4210
sitar,7113,5461
cornet,6201,4481
tabla,6073,4613
alto saxophone,5919,4933
electric piano,5796,4992
daf,5779,3658
timpani,5567,4013
classical guitar,5482,4720
bass drum,5474,4514
turntable,5415,4496
tambourine,5353,4618
bass clarinet,5325,4151
vibraphone,5321,4522
bagpipe,5297,3745
suka,5243,2903
other instruments,4967,4747
ukulele,4916,3803
Hammond organ,4711,4089
marimba,4676,3539
kora,4366,2679
French horn,4365,3837
melodica,4218,3984
serpent,4165,2332
anvil,4015,2732
piccolo,4009,3207
harmonium,3506,2684
snare drum,3399,2927
ruan,3392,2071
pedal steel guitar,3364,2952
chimes,3253,2754
dhol,3232,2189
congas,3200,2801
flugelhorn,3110,2694
xylophone,3025,2567
gamelan,2970,1637
pipe organ,2956,2437
grand piano,2910,2540
baritone saxophone,2868,2561
soprano saxophone,2857,2488
handclaps,2816,2247
piano trio,2732,2239
glockenspiel,2731,2414
dizi,2722,1975
bugle,2721,1741
hi-hat,2457,2054
vocoder,2406,2021
regal,2405,1970
wind instruments,2341,2117
zither,2338,1533
bouzouki,2322,1752
lyre,2316,1375
shakers,2246,1366
saz,2150,1419
theremin,2093,1536
bongos,2070,1806
kaval,1953,1444
continuum,1868,1481
brushes,1851,1510
cowbell,1840,1539
veena,1811,1045
chande,1740,1244
wot,1735,1062
carillon,1695,612
electronic instruments,1691,1584
ratchet,1647,1235
euphonium,1527,1017
typewriter,1526,981
antara,1514,970
mellotron,1503,1286
clavinet,1483,1314
fife,1478,840
didgeridoo,1451,1069
fortepiano,1385,844
shakuhachi,1380,824
concertina,1359,1005
taphon,1353,896
flamenco guitar,1350,1207
xun,1333,602
tin whistle,1330,1061
viola da gamba,1323,905
autoharp,1315,1075
lap steel guitar,1254,1128
claves,1254,879
ebow,1254,906
taiko,1237,750
bass trombone,1201,898
maracas,1201,1043
celesta,1191,987
pipa,1190,688
slapstick,1189,1029
tap dance,1187,1029
electric violin,1181,999
timbales,1180,978
tom-tom,1162,1033
kazoo,1154,859
contrabassoon,1147,985
sheng,1121,654
berda,1113,642
chacha,1108,597
conch,1098,734
fretless bass,1091,952
bandura,1078,615
djembe,1060,725
shamisen,1036,576
Rhodes piano,1022,915
washboard,1015,769
cor anglais,1012,872
alto flute,1003,822
mbira,1000,606
quena,984,541
analog synthesizer,965,870
clavichord,939,648
cuatro,936,667
cornett,907,410
tanbur,902,611
string trio,884,722
bayan,871,557
baritone guitar,871,710
Minimoog,860,665
electric bass guitar,857,791
spoons,854,678
prepared piano,839,619
resonator guitar,829,692
concert flute,822,776
string quintet,791,674
mridangam,790,533
vihuela,779,404
upright piano,778,699
quinto,770,475
bombarde,766,685
toy piano,766,617
virginal,763,521
sarod,762,568
krap,761,379
sousaphone,731,533
theorbo,729,471
clapper,725,449
hammered dulcimer,713,596
vielle,703,449
spinet,694,379
button accordion,687,534
piano duo,685,586
shawm,685,430
electronic organ,682,588
biwa,680,232
uilleann pipes,672,557
EWI,670,459
disk drive,657,338
mandola,656,512
cimbalom,640,436
piano quartet,640,549
sarangi,638,520
theatre organ,630,442
balalaika,630,392
tambura,594,462
Wurlitzer electric piano,592,517
charango,588,393
balafon,586,408
xiao,585,369
tabor,577,317
repeater,571,345
vacuum cleaner,562,412
wood block,556,520
bass flute,550,392
ocarina,547,390
frame drum,543,432
castanets,537,468
cittern,535,408
duduk,532,382
musical saw,530,416
talking drum,528,452
zarb,515,190
idiophone,515,345
saxophone quartet,514,403
mellophone,514,354
bass viol,507,350
daire,487,343
Pianet,487,193
tenor guitar,479,326
wind chime,477,425
guitar synthesizer,474,410
calliope,465,343
berimbau,461,286
electric sitar,459,405
harp guitar,438,381
bodhrán,430,332
surdo,428,238
double reed,426,346
keytar,424,336
guzheng,422,295
siku,422,281
tubular bells,416,367
tenor banjo,412,339
transverse flute,409,344
steelpan,403,300
violone,400,238
pan flute,399,344
cavaquinho,397,291
kantele,395,229
shofar,395,181
valve trombone,382,330
nabal,382,229
calabash,378,260
rebec,370,288
mouth organ,368,327
bass pedals,367,314
piano accordion,366,314
saw u,363,328
bass saxophone,362,283
bansuri,356,286
baritone horn,353,308
mandocello,351,265
five-string banjo,349,312
reed organ,345,252
nyckelharpa,344,226
tanpura,341,233
suona,341,237
natural horn,327,246
acoustic bass guitar,326,274
handbell,325,182
basset horn,320,175
angklung,317,88
zurna,315,226
piano four hands,314,272
sackbut,308,232
rebab,308,215
Appalachian dulcimer,308,248
violin family,307,226
piccolo trumpet,307,261
12 string guitar,306,280
E-flat clarinet,304,276
baryton,303,177
psaltery,293,216
setar,292,196
kokle,290,87
ondes Martenot,290,184
tenor trombone,287,211
yehu,284,211
güiro,279,217
low whistle,277,215
archtop guitar,277,232
shehnai,277,206
santur,272,211
chalumeau,271,139
finger snaps,269,217
santoor,268,201
contrabass clarinet,265,230
hard disk drive,265,158
viola d'amore,263,104
citole,263,97
khim,260,168
Hawaiian guitar,257,227
bass synthesizer,256,236
Portuguese guitar,255,193
bandoneón,255,194
keyboard bass,255,233
guqin,253,180
flageolet,252,150
kettle drum,250,209
tack piano,246,220
steel-string acoustic guitar,246,232
cajón,245,165
alto clarinet,244,173
nguru,243,156
dholak,240,203
glass harmonica,239,181
txalaparta,233,92
membranophone,232,184
bajo sexto,230,192
akete,227,150
bazooka,226,128
barbat,226,154
electric harp,222,191
nagak,222,161
finger cymbals,222,199
metallophone,219,187
crumhorn,218,169
chromatic harmonica,218,183
kanun,216,158
suling,216,129
ghatam,215,168
viol consort,213,154
musical bow,212,136
barrel organ,212,155
oboe d'amore,211,128
crotales,211,184
darbuka,210,194
ophicleide,210,147
yangqin,209,144
natural trumpet,206,143
singing bowl,203,172
gayageum,202,117
taepyeongso,201,89
bangu,200,143
sanshin,199,112
garmon,195,79
primero,192,158
mouth harp,191,165
baroque guitar,191,156
sarrusophone,189,97
electric cello,185,160
free reed,181,128
kös,181,98
kamancheh,180,117
talkbox,178,169
rehu,177,125
archlute,174,125
rubab,174,109
pedal piano,173,92
washtub bass,172,134
davul,172,138
bass trumpet,170,119
dunun,167,65
bonang,165,85
bullroarer,165,99
komuz,161,76
tumbi,160,122
lute family,158,145
gizmo,158,147
domra,158,99
gittern,158,92
surbahar,157,123
lyra viol,157,61
Irish bouzouki,156,108
krar,156,78
kithara,156,115
segunda,155,119
goblet drum,154,120
madal,152,98
end-blown flute,152,130
gusli,151,105
huqin,150,87
vibraslap,150,119
ashiko,149,80
bolon,148,101
portative,145,96
soprano clarinet,145,117
Irish flute,145,124
morin khuur,145,110
bandurria,145,103
chamber organ,144,117
bağlama,144,99
slide whistle,144,115
cabasa,143,128
alphorn,143,74
bendir,142,113
barrel drum,142,111
gaida,141,75
diatonic button accordion,140,113
laouto,139,74
omnichord,137,131
vuvuzela,136,74
khene,135,82
dulcian,134,72
basset clarinet,134,64
sopranino saxophone,133,113
sanxian,132,91
sistrum,131,74
danso,130,87
tube zither,130,58
kanjira,130,114
Lyricon,129,78
esraj,129,104
string synthesizer,129,115
pocket trumpet,129,111
janggu,128,83
sabar,127,98
xalam,126,72
tulum,125,80
bass violin,125,93
bass harmonica,124,114
nadaswaram,122,92
octave mandolin,121,85
floppy disk drive,121,86
Wagner tuba,120,72
kacapi,119,59
single reed,119,110
crwth,119,72
syrinx,118,83
shekere,118,102
Stroh violin,118,82
concert harp,117,104
dutar,116,87
Cretan lyra,116,86
Great Highland bagpipe,115,96
bass recorder,115,89
temple blocks,115,102
kenong,115,43
electric viola,114,80
musical box,114,100
slit drum,113,90
electric upright bass,113,97
heckelphone,111,67
kannel,111,72
suikinkutsu,111,21
nose flute,111,83
Paraguayan harp,110,80
kendang,109,65
hurdy gurdy,108,93
bowed string instruments,108,105
minipiano,108,45
güira,106,50
zhongruan,106,35
Northumbrian pipes,105,102
geomungo,103,68
Saraswati veena,103,77
gehu,103,47
soprano recorder,103,83
guban,102,81
kempul,101,40
waterphone,101,73
diddley bow,100,61
valiha,99,74
dilruba,98,68
wire-strung harp,98,58
Reactable,98,60
farfisa,98,93
fipple flute,98,73
electric grand piano,96,85
chitra veena,96,61
hardingfele,94,76
yueqin,94,46
bell tree,94,87
duck call,93,54
tangent piano,93,38
rudra veena,93,64
Chapman stick,92,88
Gravikord,91,37
rainstick,90,80
oboe da caccia,86,54
body percussion,86,72
tenor viol,86,67
čelo,85,67
plucked string instruments,85,81
glass harp,83,59
haegeum,83,47
synclavier,82,72
tinya,82,51
morsing,82,58
dombra,80,57
gadulka,80,63
arpeggione,79,44
tamborim,79,47
laúd,77,68
zabumba,77,61
tenor recorder,77,61
English concertina,77,52
contrabass flute,77,35
chamberlin,76,63
khlui,76,19
pakhawaj,76,71
laser harp,75,46
wooden fish,73,40
clavioline,73,48
caxixi,73,58
jouhikko,73,58
chromatic button accordion,72,52
clapstick,72,47
ranat ek,72,46
orphica,71,60
viol family,71,42
Marxophone,70,46
hydraulophone,70,21
langeleik,70,45
cuíca,69,40
swarmandal,69,41
rototom,68,56
cimbasso,68,27
cümbüş,68,46
liuqin,67,27
Cembalet,67,25
launeddas,66,50
shruti box,66,42
guitar family,66,63
hichiriki,65,49
contrabass saxophone,65,40
Pierrot ensemble,65,58
bawu,64,50
vichitra veena,64,46
bass oboe,64,33
yatga,64,43
bandora,64,49
pipe and tabor,64,45
trikiti,63,42
kanklės,63,39
gudok,61,28
kemenche,60,53
German harp,60,54
cylindrical drum,59,55
biniou,59,43
gambang,59,43
struck idiophone,58,42
hummel,57,37
gaohu,56,40
Scottish smallpipes,56,43
gemshorn,55,39
flabiol,55,31
frottoir,55,35
lira da braccio,55,49
four-string banjo,55,53
atabaque,55,41
viola caipira,54,47
bowed lute,54,49
dulzaina,54,42
fujara,54,33
bowed piano,54,27
thavil,54,40
lithophone,53,30
reco-reco,52,43
banjolin,52,40
helicon,52,41
kethuk,51,21
Warr guitar,51,43
txistu,51,35
daegeum,51,42
repinique,51,25
oval spinet,51,17
arghul,50,28
kempyang,50,24
tonkori,50,27
shime-daiko,50,24
violoncello piccolo,50,34
tenor violin,50,39
folk harp,49,39
agogô,49,35
tubon,49,32
hulusi,49,35
friction drum,49,40
Xaphoon,49,37
ajaeng,49,26
ravanahatha,49,31
sopilka,48,39
voice synthesizer,48,48
vessel flute,48,23
mijwiz,47,29
bicycle bell,47,36
buzuq,47,35
Anglo concertina,47,36
dulcitone,47,38
spinettone,46,25
dohol,46,32
bīn,46,40
tromba marina,46,30
treble viol,46,36
caixa,45,34
afoxé,45,21
baroque trumpet,45,30
electric lap steel guitar,44,43
taonga pūoro,44,27
kkwaenggwari,44,31
German concertina,43,22
trautonium,43,34
buisine,43,25
ranat thum,43,27
Tonette,43,21
willow flute,42,28
nyatiti,42,22
olifant,42,35
hourglass drum,42,33
saw sam sai,41,12
post horn,40,19
wind synthesizer,40,37
Batá drum,40,28
kinnor,39,26
stick zither,39,28
Guitaret,38,7
tenora,38,31
baglamas,38,26
marímbula,38,26
ondioline,38,35
calung,38,10
tzoura,38,32
quijada,37,30
saluang,37,19
ronroco,37,26
đàn tranh,37,24
gralla,37,25
luthéal,36,16
gankogui,36,18
bell plate,36,27
xylorimba,35,26
lirone,35,29
shinobue,35,32
reyong,34,24
hotchiku,34,12
octoban,34,27
chirimía,34,12
alto viol,33,29
đàn bầu,33,19
bowed lyre,32,22
sopranino recorder,32,25
practice chanter,32,20
Mexican vihuela,32,21
jinghu,32,21
samica,32,13
tololoche,32,20
guitalele,31,22
guitorgan,30,28
violino piccolo,30,21
tubax,30,18
harpejji,30,13
foot stomps,29,28
kotsuzumi,29,24
lamellaphone,29,27
dolceola,29,18
pardessus de viole,28,18
octavina,28,17
njarka,28,27
bowed psaltery,28,15
contrabass recorder,28,22
amadinda,27,23
flumpet,27,24
lavta,27,19
zhonghu,27,17
kokyu,27,20
plucked idiophone,27,21
kartal,27,20
viola organista,27,24
talharpa,26,19
cornamuse,26,20
Schwyzerörgeli,26,12
daruan,26,18
friction idiophone,26,25
chitarra battente,26,17
orpharion,25,18
aeolian harp,25,20
gong-chime,25,20
khong wong,25,10
alfaia,25,17
rauschpfeife,24,15
maddale,24,22
bulbul tarang,24,24
gendèr,24,4
Otamatone,23,10
telharmonium,23,20
hyoshigi,23,17
English flageolet,23,14
Cristal Baschet,23,15
ti bwa,23,21
treble flute,22,14
slenthem,22,13
mirliton,22,21
rammana,22,11
taragot,22,16
paiban,22,13
torupill,22,21
šargija,22,17
duggi,21,15
electronic drum set,21,21
gaita de boto,21,15
octobass,20,11
bedug,20,11
alto violin,20,17
dramyin,20,15
banhu,20,14
ukeke,20,12
kōauau,20,10
diyingehu,20,12
ganzá,20,12
Vietnamese guitar,19,16
samba whistle,19,13
jantar,19,17
jublag,19,9
yonggo,19,14
ryuteki,19,17
rhythm sticks,18,17
chau gong,18,7
säckpipa,18,14
bombo legüero,18,15
musette de cour,18,16
craviola,18,11
żaqq,18,10
violin octet,18,11
mandolute,18,16
doshpuluur,17,12
zhaleika,17,8
zhuihu,17,8
mandoguitar,17,16
flutina,17,10
sasando,17,6
ocean drum,17,12
klong khaek,16,6
duxianqin,16,9
saw duang,16,15
Baltic psalteries,16,14
khong wong yai,16,9
tarota,16,11
boobam,16,11
piccolo oboe,16,12
handpan,16,4
mukkuri,15,8
kepyak,15,9
kudüm,14,10
junjung,14,14
valved brass instruments,14,14
guitarrón mexicano,14,13
Mark tree,14,14
gaita asturiana,14,9
quadruple reed,14,5
kortholt,14,12
song loan,13,7
jegogan,13,6
brač,12,10
claviola,12,10
nohkan,12,6
baroque rackett,12,6
đàn nhị,12,7
gaita gallega,12,9
krakebs,12,12
tungso,12,10
lap harp,12,12
guitarrón chileno,11,6
pi nai,11,7
17-string bass koto,11,7
kecer,11,9
akkordolia,11,11
ōtsuzumi,11,9
arrabel,11,9
three-hole pipe,11,10
bugarija,11,5
phách,10,8
rondador,10,6
nose whistle,10,6
garklein recorder,10,7
đàn tỳ bà,10,7
spike-fiddle,10,10
doyra,10,10
shaken idiophone,9,9
soprano flute,9,9
đàn nguyệt,9,6
spilåpipa,9,4
banjitar,9,9
kacapi indung,9,7
game console sound chip,8,8
ghijak,8,7
birbynė,8,5
gaita sanabresa,8,7
khong wong lek,8,6
Denis d'or,8,2
claviorganum,8,7
gong bass drum,8,5
bisernica,8,6
classical kemençe,8,7
monkey stick,8,7
table steel guitar,8,8
dulce melos,8,8
struck string instruments,8,8
gumbri,8,8
saron panerus,7,7
satsuma biwa,7,7
kempli,7,6
concussion idiophone,7,6
slentho,7,4
kantilan,7,5
violotta,7,5
saron barung,7,4
percussion idiophone,7,7
ghaychak,7,6
kemanak,7,6
Blaster Beam,7,7
pūtātara,7,6
tubulum,7,1
ģīga,6,6
qilaut,6,5
Dubreq Stylophone,6,6
tiêu,6,5
kèn bầu,6,2
kendang wadon,6,5
The Great Stalacpipe Organ,6,3
sursingar,6,5
walaycho,6,5
kagurabue,6,6
viololyra,6,6
wavedrum,6,6
đàn tứ,6,2
yoochin,6,5
garifuna drum,6,1
yaylı tanbur,5,3
härjedalspipa,5,4
saron family,5,5
lasso d'amore,5,4
soprano violin,5,5
pūtōrino,5,2
trumpet family,5,5
flûte d'amour,5,5
vibrandoneon,5,5
gendèr barung,5,1
scraped idiophone,4,3
fundeh,4,4
pōrutu,4,3
atarigane,4,2
renaissance rackett,4,2
đàn tam,4,4
ranat kaeo,4,4
kacapi rincik,4,4
bronze lur,4,4
kōauau ponga ihu,4,2
taishogoto,4,4
chakhe,4,1
klong yao,4,4
saron demung,3,3
pluriarc,3,3
chirimía and drum,3,3
marimba lumina,3,3
banjo-ukulele,3,3
treble violin,3,3
gendèr panerus,3,1
gajdy,3,3
sáo trúc,3,2
bonang barung,3,2
pemade,3,3
baandu,3,3
bhapang,3,3
chime bar,3,3
çevgen,2,2
melophone,2,1
rōria,2,2
boomwhacker,2,1
boatswain's pipe,2,2
cizhonghu,2,2
naobo,2,2
chikuzen biwa,2,2
xiaoluo,2,2
chanzy,2,2
heike biwa,2,2
daluo,2,2
pūrerehua,2,2
bonang panerus,2,1
acoustic fretless guitar,2,2
gopichant,2,1
accordina,2,2
shudraga,1,1
żummara,1,1
k'lông pút,1,1
kendhang ketipung,1,1
kendhang gendhing,1,1
gramorimba,1,1
pahū,1,1
natural brass instruments,1,1
pākuru,1,1
Wiener Horn,1,1
te kū,1,1
pahū pounamu,1,1
topshuur,1,1
octavilla,1,1
đàn tam thập lục,1,1
lautenwerck,1,1
keyed brass instruments,1,1
sênh tiền,1,1
ütőgardon,1,1
subcontrabass recorder,1,1
bouzar / gouzouki,0,0
klong song na,0,0
seni rebab,0,0
kendang lanang,0,0
pūkaea,0,0
donso ngɔni,0,0
krap sēphā,0,0
đing năm,0,0
elektronium,0,0
great bass recorder / c-bass recorder,0,0
pang gu ly hu hmông,0,0
krap phuang,0,0
djoza,0,0
ki pah,0,0
ngɔni,0,0
pí thiu,0,0
footbass,0,0
jeli ngɔni,0,0
pūpakapaka,0,0
żafżafa,0,0
ankle rattlers,0,0
pūmotomoto,0,0
klong that,0,0
trắng jâu,0,0
trắng lu,0,0
tenor horn / alto horn,0,0
tumutumu,0,0
đàn tứ dây,0,0
pedal accordion,0,0
tōkere,0,0
birch lur,0,0
shichepshin,0,0
pkhachich,0,0
jing'erhu,0,0
khulsan khuur,0,0
temür khuur,0,0
saduk,0,0
slide brass instruments,0,0
porotiti,0,0
poi āwhiowhio,0,0
piano spinet,0,0
tràm plè,0,0
gendèr wayang,0,0
hue puruwai,0,0
kacapi siter,0,0
kendhang batangan,0,0
sáo meò,0,0
kendhang indung,0,0
traditional basque ensemble,0,0
t'rưng,0,0
trống bông,0,0
bellowed reed,0,0
kèn lá,0,0
electric fretless guitar,0,0
đing buốt,0,0
saron wayang,0,0
algozey,0,0
Tibetan water drum,0,0
tanbou ka,0,0
Irish harp / clàrsach,0,0
cò ke,0,0
Indonesian rebab,0,0
saron peking,0,0
oktawka,0,0
treble recorder / alto recorder,0,0
hmông flute,0,0
hue puruhau,0,0
krap khū,0,0
kamale ngɔni,0,0
khèn Mèo,0,0
keyed box zither,0,0
bonang panembung,0,0
mandora / gallichon,0,0
bin-sitar,0,0
aman khuur,0,0
bağlama (saz) family,0,0
ding tac ta,0,0
kendhang kulanter,0,0
kendhang wayangan,0,0
kemençe of the Black Sea,0,0
nagadou-daiko,0,0
Serbo-Croatian tamburica orchestra,0,0
drums (drum set),0,0
kachva sitar,0,0
tritantri veena,0,0
pātē,0,0
bin-sasara,0,0
chuurqin,0,0
